section,department,hs_code
BOYS,MASK,62171010
LADIES,BLOUSE,61061000
LADIES,BOXERS,61034300
LADIES,CLBAG,42022240
LADIES,CULOTTE,61034200
LADIES,DRESS,61044200
LADIES,ETH DRESS,62044911
LADIES,ETH KURTA,62113900
LADIES,ETH KURTI,62113900
LADIES,ETH PALLAZO,62041300
LADIES,JACKET,61033200
LADIES,JUMPER,61044200
LADIES,JUMPSUIT,62114990
LADIES,KAFTAN,62114210
LADIES,KDRESS,61044200
LADIES,KNIT SHRUG,61033200
LADIES,KPANTS,61034200
LADIES,KPYJAMA SUIT,62082100
LADIES,KSHORTS,61046200
LADIES,KSKIRT,61045200
LADIES,KTIGHTS,61034200
LADIES,KURTA,62114210
LADIES,KURTI,61061000
LADIES,KVEST,61091000
LADIES,MASK,62171000
LADIES,OVERLAY,61044990
LADIES,PAJAMA,62082100
LADIES,PANTS,61034200
LADIES,PYJAMA,62082100
LADIES,PYJAMA SUIT,62082100
LADIES,SHIRTS,62063000
LADIES,SHORTS,61034300
LADIES,SHRUG,61033200
LADIES,SKIRT,61045200
LADIES,SOCKS,62171010
LADIES,TSHIRT,61091000
LADIES,WAIST COAT,62113200
MENS,BOXERS,62071100
MENS,ETHNI KURTA,62113990
MENS,JACKET,61033200
MENS,JOGGERS,61121100
MENS,KPANTS,61034200
MENS,KSHORTS,61034200
MENS,KURTA,62114210
MENS,KVEST,62079990
MENS,PANTS,61034200
MENS,SHIRTS,62052000
MENS,SHORTS,61034200
MENS,SOCKS,62171010
MENS,SWEAT,61091000
MENS,TRACK PANT,61034200
MENS,TSHIRT,61091000
UNISEX,TOTE BAG,42022220
